id,title_tr,title_ar,pattern_ar,pattern_tr,note_tr,source_pages,tags,examples,slots,audio_key
p001,İhtiyaç belirtme,التعبير عن الحاجة,{pronoun} بِحاجَةٍ إِلى {object},{kişi} {nesneye} ihtiyaç duyuyor.,إِلى'dan sonra ismin yönelme/ilişki anlamı kuvvetlenir.,"[52, 56, 60]","[""core"", ""need""]","[{""ar"": ""أَنا بِحاجَةٍ إِلى حَليبٍ."", ""tr"": ""Süte ihtiyacım var.""}, {""ar"": ""هُوَ بِحاجَةٍ إِلى الخُبْزِ."", ""tr"": ""Onun ekmeğe ihtiyacı var.""}]","{""pronoun"": [""أَنا"", ""أَنْتَ"", ""أَنْتِ"", ""هُوَ"", ""هِيَ""], ""object"": [""خُبْز"", ""سُكَّر"", ""مِلْح"", ""حَليب"", ""تُفّاح"", ""بَطاطا"", ""فاصوليا""]}",u2_pattern_p001
p002,İstemek,طلب الشيء,أُريدُ {object},{nesneyi} istiyorum.,أُريدُ tek başına doğrudan istek bildirir.,"[52, 56, 64, 67]","[""core"", ""request""]","[{""ar"": ""أُريدُ خُبْزًا طازَجًا."", ""tr"": ""Taze ekmek istiyorum.""}, {""ar"": ""أُريدُ كيلوغرامًا واحِدًا."", ""tr"": ""Bir kilogram istiyorum.""}]","{""object"": [""خُبْز"", ""سُكَّر"", ""مِلْح"", ""حَليب"", ""تُفّاح"", ""بَطاطا"", ""فاصوليا"", ""كيلو"", ""كيلوغرام"", ""عُلْبَة"", ""عُلْبَتان"", ""ثَلاثَة كيلوغرامات""]}",u2_pattern_p002
p003,Satın almak istemek,إرادة الشراء,أُريدُ أَنْ أَشْتَري {object},{nesne} satın almak istiyorum.,أَنْ + fiil mastar anlamı verir.,"[67, 76]","[""request""]","[{""ar"": ""أُريدُ أَنْ أَشْتَري بَعْضَ الخُضَرِ."", ""tr"": ""Biraz sebze satın almak istiyorum.""}, {""ar"": ""أُريدُ أَنْ أَشْتَري مَوْزًا."", ""tr"": ""Muz satın almak istiyorum.""}]","{""object"": [""بَعْضَ الخُضَرِ"", ""مَوْزًا"", ""تُفّاحًا"", ""حَليبًا""]}",u2_pattern_p003
p004,Birinden isteme,الطلب من شخص,أَطْلُبُ مِنْكَ {quantity} مِنْ {object},Senden {miktar} {nesne} istiyorum.,مِنْكَ hitap edilen kişiden isteme anlamı verir.,"[56, 60]","[""request""]","[{""ar"": ""أَطْلُبُ مِنْكَ كيلو سُكَّرٍ."", ""tr"": ""Senden bir kilo şeker istiyorum.""}, {""ar"": ""أَطْلُبُ مِنْكَ عُلْبَةَ مِلْحٍ."", ""tr"": ""Senden bir kutu tuz istiyorum.""}]","{""quantity"": [""كيلو"", ""كيلوغرام"", ""عُلْبَة"", ""عُلْبَتان"", ""ثَلاثَة كيلوغرامات""], ""object"": [""خُبْز"", ""سُكَّر"", ""مِلْح"", ""حَليب"", ""تُفّاح"", ""بَطاطا"", ""فاصوليا""]}",u2_pattern_p004
p005,Fiyat sorma,السؤال عن السعر,بِكَم {item}؟,{ürün} kaç lira?,بِكَم fiyat sormak için kullanılır.,"[52, 67, 70, 71]","[""price"", ""question""]","[{""ar"": ""بِكَم البَصَلُ؟"", ""tr"": ""Soğan kaç lira?""}, {""ar"": ""بِكَم الفاصوليا؟"", ""tr"": ""Fasulye kaç lira?""}]","{""item"": [""البَصَلُ"", ""الفاصوليا"", ""المَوْزُ"", ""التُّفّاحُ""]}",u2_pattern_p005
p006,Fiyat söyleme,الإخبار عن السعر,{item} بِـ{number} ليرات,{ürün} {sayı} lira.,B fiyat bildirirken بِـ kullanılır.,"[67, 70, 71]","[""price""]","[{""ar"": ""البَصَلُ بِأَرْبَعِ ليراتٍ."", ""tr"": ""Soğan dört lira.""}, {""ar"": ""الفاصوليا بِتِسْعِ ليراتٍ."", ""tr"": ""Fasulye dokuz lira.""}]","{""item"": [""البَصَلُ"", ""الفاصوليا"", ""المَوْزُ"", ""الخِيارُ""], ""number"": [""أَرْبَع"", ""خَمْس"", ""سَبْع"", ""تِسْع"", ""عَشْر""]}",u2_pattern_p006
p007,Miktar sorma,السؤال عن الكمية,كَم كيلوغرامًا تُريدُ مِنْ {item}؟,{üründen} kaç kilogram istiyorsun?,كَم miktar/sayı sorar.,"[70, 71]","[""quantity"", ""question""]","[{""ar"": ""كَم كيلوغرامًا تُريدُ مِنَ التُّفّاحِ؟"", ""tr"": ""Elmadan kaç kilogram istiyorsun?""}, {""ar"": ""كَم كيلوغرامًا تُريدُ مِنَ البَطاطا؟"", ""tr"": ""Patatesten kaç kilogram istiyorsun?""}]","{""item"": [""التُّفّاحِ"", ""البَطاطا"", ""الطَّماطِمِ"", ""المَوْزِ""]}",u2_pattern_p007
p008,Miktar cevaplama,الإخبار عن الكمية,أُريدُ {number} كيلوغراماتٍ مِنْ {item},{üründen} {sayı} kilogram istiyorum.,Sayı-miktar ilişkisinde kalıp hazır olarak verilir.,"[64, 70, 76]","[""quantity""]","[{""ar"": ""أُريدُ ثَلاثَةَ كيلوغراماتٍ مِنَ المِشْمِشِ."", ""tr"": ""Kayısıdan üç kilogram istiyorum.""}, {""ar"": ""أُريدُ كيلوغرامًا واحِدًا مِنْ كُلِّ نَوْعٍ."", ""tr"": ""Her çeşitten bir kilogram istiyorum.""}]","{""number"": [""ثَلاثَةَ"", ""كيلوغرامًا واحِدًا""], ""item"": [""المِشْمِشِ"", ""التُّفّاحِ"", ""البَطاطا""]}",u2_pattern_p008
p009,Başka bir şey sorma,السؤال عن شيء آخر,هَل تُريدُ شيئًا آخَر؟,Başka bir şey ister misin?,تُريدينَ kadın muhatap için kullanılır.,"[56, 76, 77]","[""dialogue""]","[{""ar"": ""هَل تُريدينَ شيئًا آخَر؟"", ""tr"": ""Başka bir şey ister misin?""}, {""ar"": ""هَل تُريدُ شيئًا آخَر؟"", ""tr"": ""Başka bir şey ister misin?""}]",{},u2_pattern_p009
p010,Olumlu/olumsuz cevap,الجواب بنعم أو لا,نَعَم، أُريدُ {object}. / لا، شُكْرًا.,"Evet, {nesne} istiyorum. / Hayır, teşekkürler.",Diyalog kapatma ve kibar cevap için kullanılır.,"[67, 76, 87]","[""dialogue""]","[{""ar"": ""نَعَم، أُريدُ عُلْبَةً مِنَ الحَليبِ."", ""tr"": ""Evet, bir kutu süt istiyorum.""}, {""ar"": ""لا، شُكْرًا جَزيلًا. هذا كافٍ."", ""tr"": ""Hayır, çok teşekkürler. Bu yeterli.""}]","{""object"": [""خُبْز"", ""سُكَّر"", ""مِلْح"", ""حَليب"", ""تُفّاح"", ""بَطاطا"", ""فاصوليا""]}",u2_pattern_p010
