id,nameTr,questionAr,templateAr,usageTr,examples
destination_go,Nereye gidiyorsun?,إِلى أَيْنَ تَذْهَبُ؟,أَذْهَبُ إِلى {place}.,Bir yere gitmeyi anlatır.,أَذْهَبُ إِلى المَدْرَسَةِ. | أَذْهَبُ إِلى المَكْتَبَةِ.
destination_travel,Nereye seyahat ediyorsun?,إِلى أَيْنَ تُسافِرُ؟,أُسافِرُ إِلى {city}.,Şehirler arası seyahati anlatır.,أُسافِرُ إِلى أَنْقَرَةَ. | أُسافِرُ إِلى بورْصَةَ.
instrument,Ne ile?,بِماذا تَذْهَبُ؟ / بِماذا تُسافِرُ؟,أَذْهَبُ / أُسافِرُ إِلى {place} بِـ{vehicle}.,Ulaşım aracını bildirir. Araçtan önce genellikle بِـ kullanılır.,أُسافِرُ إِلى أَنْقَرَةَ بِالطّائِرَةِ. | أَذْهَبُ إِلى المَدْرَسَةِ بِالحافِلَةِ.
return_from_to,Nereden nereye dönüyorsun?,مِنْ أَيْنَ تَرْجِعُ؟ / بِماذا تَرْجِعُ؟,أَرْجِعُ مِنْ {from} إِلى {to} بِـ{vehicle}.,Dönüş yönünü ve aracını anlatır.,أَرْجِعُ مِنَ المَكْتَبَةِ إِلى البَيْتِ مَشْيًا. | تَرْجِعُ أُخْتي إِلى إِسْطَنْبولَ بِالقِطارِ.
how_route,Yol tarifi isteme,كَيْفَ أَذْهَبُ إِلى السّوقِ القَديمِ؟,كَيْفَ أَذْهَبُ إِلى {place}؟,Bir yere nasıl gidileceğini sormak için kullanılır.,كَيْفَ أَذْهَبُ إِلى المُسْتَشْفى؟ | كَيْفَ أَذْهَبُ إِلى المَكْتَبَةِ؟
directions_sequence,Yol tarifinde sıralama,,اُعْبُرِ الطَّريقَ، ثُمَّ اِتَّجِهْ إِلى اليَمينِ، ثُمَّ اِمْشِ إِلى الأَمامِ قَليلاً.,Yol tarifinde emir fiilleri ve ثُمَّ ile sıra kurulur.,اُعْبُرِ الطَّريقَ. | اِمْشِ إِلى الأَمامِ قَليلاً. | اِرْكَبِ الحافِلَةَ مِنَ المَوْقِفِ.
side_location,Sağda / solda,,{place} عَلى اليَمينِ / عَلى اليَسارِ.,Bir yerin konumunu belirtir.,المَدْرَسَةُ عَلى اليَمينِ. | السّوقُ عَلى اليَسارِ.
comparative,Karşılaştırma,,{noun1} أَسْرَعُ مِنْ {noun2}.,أَفْعَلُ مِنْ kalıbıyla karşılaştırma yapılır.,الطّائِرَةُ أَسْرَعُ مِنَ السَّفينَةِ. | الدَّرّاجَةُ أَبْطَأُ مِنَ القِطارِ. | المِتْرو أَحْدَثُ مِنَ السَّيّارَةِ.
traffic_light,Trafik ışıkları,,قِفْ عِنْدَ الضَّوْءِ الأَحْمَرِ. اِسْتَعِدَّ عِنْدَ الضَّوْءِ الأَصْفَرِ. اُعْبُرْ عِنْدَ الضَّوْءِ الأَخْضَرِ.,Trafik ışığına göre emir cümleleri kurulur.,قِفْ عِنْدَ الضَّوْءِ الأَحْمَرِ. | اِسْتَعِدَّ عِنْدَ الضَّوْءِ الأَصْفَرِ. | اُعْبُرْ عِنْدَ الضَّوْءِ الأَخْضَرِ.
time_exit,Saatte çıkmak,,أَخْرُجُ مِنَ {place} في السّاعَةِ {time}.,Bir yerden çıkış zamanını bildirir.,أَخْرُجُ مِنَ المَدْرَسَةِ في السّاعَةِ الثّالِثَةِ. | تَخْرُجُ مِنَ المَكْتَبَةِ في السّاعَةِ السّادِسَةِ.
with_person,Kiminle?,مَعَ مَنْ تُسافِرُ؟,أُسافِرُ مَعَ {person} إِلى {city}.,Seyahat edilen kişiyi bildirir.,أُسافِرُ مَعَ أُمّي إِلى بورْصَةَ. | أَذْهَبُ مَعَ صَديقي إِلى المَكْتَبَةِ.
yes_no,هل ile soru,,هَلْ يَذْهَبُ المِتْرو إِلى {place}؟,Evet/hayır sorusu kurar.,هَلْ يَذْهَبُ المِتْرو إِلى المُسْتَشْفى؟ نَعَمْ. | هَلْ تَذْهَبُ إِلى المَدْرَسَةِ بِالحافِلَةِ؟
