id,skill,prompt,options,answer
q001,instrument,بِماذا يُسافِرُ الأَبُ إِلى أَنْقَرَةَ؟,بِالطّائِرَةِ | بِالسَّفينَةِ | مَشْيًا | بِالدَّرّاجَةِ,بِالطّائِرَةِ
q002,vocab,ما معنى «حافِلَة»؟,otobüs | uçak | gemi | tren,otobüs
q003,vocab,ما معنى «طائِرَة»؟,gemi | uçak | araba | metro,uçak
q004,directions,ما معنى «إِلى اليَمين»؟,sola | sağa | ileriye | arkaya,sağa
q005,comparative,أيُّ جملةٍ صحيحة؟,الطّائِرَةُ أَسْرَعُ مِنَ السَّفينَةِ. | الدَّرّاجَةُ أَسْرَعُ مِنَ الطّائِرَةِ. | الحافِلَةُ أَسْرَعُ مِنَ الطّائِرَةِ. | المَكْتَبَةُ أَسْرَعُ مِنَ القِطارِ.,الطّائِرَةُ أَسْرَعُ مِنَ السَّفينَةِ.
q006,traffic,عِنْدَ الضَّوْءِ الأَحْمَرِ ...,اُعْبُرْ | قِفْ | اِمْشِ | اِرْكَبْ,قِفْ
q007,traffic,عِنْدَ الضَّوْءِ الأَخْضَرِ ...,قِفْ | اِسْتَعِدَّ | اُعْبُرْ | اِنْزِلْ,اُعْبُرْ
q008,questions,«بِماذا؟» تعني ...,Nereye? | Ne ile? | Ne zaman? | Kiminle?,Ne ile?
q009,questions,«إِلى أَيْنَ؟» تعni ...,Nereden? | Nasıl? | Nereye? | Ne ile?,Nereye?
q010,questions,«مِنْ أَيْنَ؟» تعني ...,Nereden? | Nereye? | Nasıl? | Ne zaman?,Nereden?
q011,modes,أَذْهَبُ إِلى المَكْتَبَةِ ...,مَشْيًا | بَحْرًا | جَوًّا | بِالسَّفينَةِ,مَشْيًا
q012,instrument,أَنا أُسافِرُ إِلى بورْصَةَ ...,بِالحافِلَةِ | بِالدَّرّاجَةِ | بِالسَّفينَةِ | مِنَ المَوْقِفِ,بِالسَّفينَةِ
q013,directions,ما ضدّ «اليَمين»؟,الأَمام | الخَلْف | اليَسار | العُنْوان,اليَسار
q014,places,أيُّ كلمةٍ تدلّ على مكان؟,مُسْتَشْفى | أَسْرَعُ | بَحْرًا | قِفْ,مُسْتَشْفى
q015,transport,أيُّ كلمةٍ تدلّ على وسيلة نقل؟,مَكْتَبَة | قِطار | قَليلاً | عُنْوان,قِطار
q016,how_route,كَيْفَ أَذْهَبُ إِلى السّوقِ القَديمِ؟,هذا سؤال عن الطريق. | هذا سؤال عن الطعام. | هذا سؤال عن العمر. | هذا سؤال عن الاسم.,هذا سؤال عن الطريق.
q017,vocab,«مَحَطَّةُ المِتْرو» تعني ...,metro istasyonu | otobüs | hastane | yaya geçidi,metro istasyonu
q018,verbs,«أَرْجِعُ» تعني ...,giderim | binerim | dönerim | inerim,dönerim
q019,imperatives,«اِرْكَبْ» تعني ...,bin | in | dur | geç,bin
q020,imperatives,«اِنْزِلْ» تعني ...,bin | in | git | hazırlan,in
q021,comparative,الدَّرّاجَةُ ... مِنَ القِطارِ.,أَبْطَأُ | أَسْرَعُ | أَكْبَرُ | أَحْدَثُ,أَبْطَأُ
q022,side_location,أَيْنَ السّوقُ؟,عَلى اليَسارِ | بِالطّائِرَةِ | مَساءً | قِطار,عَلى اليَسارِ
q023,modes,أُسافِرُ إِلى أَنْقَرَةَ جَوًّا = ...,uçak/hava yoluyla | deniz yoluyla | yürüyerek | bisikletle,uçak/hava yoluyla
q024,modes,أُسافِرُ إِلى بورْصَةَ بَحْرًا = ...,deniz yoluyla | hava yoluyla | yaya | metro ile,deniz yoluyla
q025,traffic,«إِشاراتُ المُرور» hangi alana aittir?,trafik | yiyecek | aile | saat,trafik
q026,time,أَخْرُجُ مِنَ المَدْرَسَةِ في السّاعَةِ الثّالِثَةِ. Cümlenin anlamı nedir?,Saat üçte okuldan çıkarım. | Saat üçte okula giderim. | Okula otobüsle giderim. | Okul sağdadır.,Saat üçte okuldan çıkarım.
q027,directions,«اِمْشِ إِلى الأَمامِ قَليلاً» ne demek?,Biraz ileri yürü. | Sağa dön. | Otobüsten in. | Kırmızıda dur.,Biraz ileri yürü.
q028,directions,«عَلى اليَمين» ne demek?,sağ tarafta | sol tarafta | ileri | geri,sağ tarafta
q029,places,«المَوْقِفُ أَمامَ المُسْتَشْفى» cümlesinde مَوْقِفُ nedir?,durak | uçak | adres | şehir,durak
q030,comparative,«أَسْرَعُ مِنْ» kalıbı ne bildirir?,karşılaştırma | soru | renk | zaman,karşılaştırma
