id,ar,ar_clean,tr,category,pos,emoji,translit,source_pages,tags,examples,note_tr,audio_key
v001,التَّسَوُّق,التسوق,alışveriş,place_role,isim,🛒,at-tasawwuq,"[53, 55, 80]","[""theme""]","[""أَذْهَبُ إِلى السّوقِ لِلتَّسَوُّقِ.""]",,u2_vocab_v001
v002,البَقّالَة,البقاله,bakkal,place_role,isim,🏪,al-baqqāla,"[52, 55, 56]","[""place""]","[""أَشْتَري الخُبْزَ مِنَ البَقّالَةِ.""]",,u2_vocab_v002
v003,السّوق,السوق,pazar / çarşı,place_role,isim,🏬,as-sūq,"[53, 67, 80]","[""place""]","[""أَشْتَري الفَواكِهَ مِنَ السّوقِ.""]",,u2_vocab_v003
v004,السّوق المَرْكَزِيّ,السوق المركزي,merkezî pazar,place_role,isim,🏬,as-sūq al-markazī,[55],"[""place""]","[""التَّسَوُّقُ مِنَ السّوقِ المَرْكَزِيِّ.""]",,u2_vocab_v004
v005,سوق الخُضَر,سوق الخضر,sebze pazarı,place_role,isim,🥬,sūq al-khuḍar,"[55, 66]","[""place""]","[""أَذْهَبُ إِلى سوقِ الخُضَرِ.""]",,u2_vocab_v005
v006,البائِع,البائع,satıcı,place_role,isim,👨‍🌾,al-bā’iʿ,"[64, 67]","[""role""]","[""قالَ البائِعُ: أَيُّ خِدْمَةٍ؟""]",,u2_vocab_v006
v007,المُشْتَري,المشتري,müşteri / alıcı,place_role,isim,🧑,al-mushtarī,[67],"[""role""]","[""سَأَلَ المُشْتَري: بِكَم الفاصوليا؟""]",,u2_vocab_v007
v008,البَقّال,البقال,bakkal / bakkal sahibi,place_role,isim,👨‍🍳,al-baqqāl,"[59, 76]","[""role""]","[""ساعِد العَمَّ البَقّالَ.""]",,u2_vocab_v008
v009,قائِمَةُ التَّسَوُّق,قائمه التسوق,alışveriş listesi,place_role,isim,🧾,qā’imat at-tasawwuq,"[58, 83, 90]","[""object""]","[""أُعِدُّ قائِمَةَ التَّسَوُّقِ.""]",,u2_vocab_v009
v010,سَلَّة,سله,sepet,place_role,isim,🧺,salla,"[59, 65]","[""object""]","[""ضَعِ المُنْتَجاتِ في السَّلَّةِ.""]",,u2_vocab_v010
v011,عَرَبَة,عربه,alışveriş arabası,place_role,isim,🛒,ʿaraba,"[90, 91]","[""object""]","[""في العَرَبَةِ عُلْبَةُ حَليبٍ.""]",,u2_vocab_v011
