id,category,ar,tr,translit,emoji,withBi,definite,note
bus,transport,حافِلَة,otobüs,ḥāfila,🚌,بِالحافِلَةِ,الحافِلَة,
plane,transport,طائِرَة,uçak,ṭāʾira,✈️,بِالطّائِرَةِ,الطّائِرَة,
car,transport,سَيّارَة,araba,sayyāra,🚗,بِالسَّيّارَةِ,السَّيّارَة,
bicycle,transport,دَرّاجَة,bisiklet,darrāja,🚲,بِالدَّرّاجَةِ,الدَّرّاجَة,
train,transport,قِطار,tren,qiṭār,🚆,بِالقِطارِ,القِطار,
ship,transport,سَفينَة,gemi,safīna,🚢,بِالسَّفينَةِ,السَّفينَة,
metro,transport,مِتْرو,metro,mitrū,🚇,بِالْمِتْرو,المِتْرو,
bus_stop,transport,مَوْقِفُ الحافِلَةِ,otobüs durağı,mawqif al-ḥāfila,🚏,,,
metro_station,transport,مَحَطَّةُ المِتْرو,metro istasyonu,maḥaṭṭat al-mitrū,Ⓜ️,,,
ambulance,transport,سَيّارَةُ الإِسْعافِ,ambulans,sayyārat al-isʿāf,🚑,,,
transport_means,transport,وَسائِطُ النَّقْل,ulaşım araçları,wasāʾiṭ an-naql,🧭,,,
school,places,مَدْرَسَة,okul,madrasa,🏫,,المَدْرَسَة,
hospital,places,مُسْتَشْفى,hastane,mustashfā,🏥,,المُسْتَشْفى,
library,places,مَكْتَبَة,kütüphane,maktaba,📚,,المَكْتَبَة,
mosque,places,مَسْجِد,cami,masjid,🕌,,المَسْجِد,
home,places,بَيْت,ev,bayt,🏠,,البَيْت,
old_market,places,السّوقُ القَديمُ,eski pazar / eski çarşı,as-sūq al-qadīm,🏪,,,
city,places,مَدينَة,şehir,madīna,🌆,,,
address,places,عُنْوان,adres,ʿunwān,📍,,العُنْوان,
street,places,شارِع,cadde / sokak,shāriʿ,🛣️,,الشّارِع,
road,places,طَريق,yol,ṭarīq,🛤️,,الطَّريق,
pedestrian_crossing,places,مَمَرُّ المُشاة,yaya geçidi,mamar al-mushāh,🚶,,,
istanbul,cities,إِسْطَنْبول,İstanbul,Isṭanbūl,🌉,,,
ankara,cities,أَنْقَرَة,Ankara,Anqara,🏛️,,,
bursa,cities,بورْصَة,Bursa,Būrṣa,🌿,,,
kayseri,cities,قَيْصَري,Kayseri,Qayṣarī,🏔️,,,
antalya,cities,أَنْطالْيا,Antalya,Anṭālyā,🌊,,,
sivas,cities,سيواس,Sivas,Sīwās,🏞️,,,
izmir,cities,إِزْمير,İzmir,Izmīr,🌊,,,
mardin,cities,مارْدين,Mardin,Mārdīn,🏜️,,,
gaziantep,cities,غازي عَيْنْتاب,Gaziantep,Ghāzī ʿAyntāb,🏺,,,
hatay,cities,هاتاي,Hatay,Hātāy,🍽️,,,
diyarbakir,cities,دِيار بَكْر,Diyarbakır,Diyār Bakr,🧱,,,
sinop,cities,سينوب,Sinop,Sīnūb,🌊,,,
van,cities,وان,Van,Wān,🏔️,,,
trabzon,cities,طَرابْزون,Trabzon,Ṭarābzūn,🌊,,,
mugla,cities,موغْلا,Muğla,Mūghlā,🏖️,,,
samsun,cities,سامْسون,Samsun,Sāmsūn,⚓,,,
nevsehir,cities,نَوْشَهِير,Nevşehir,Nawshahīr,🎈,,,
go_1,verbs,أَذْهَبُ,giderim / gidiyorum,adhhabu,🚶,,,
travel_1,verbs,أُسافِرُ,seyahat ederim / ediyorum,usāfiru,🧳,,,
return_1,verbs,أَرْجِعُ,dönerim / dönüyorum,arjiʿu,↩️,,,
ride_1,verbs,أَرْكَبُ,binerim / biniyorum,arkabu,🎫,,,
get_off_1,verbs,أَنْزِلُ,inerim / iniyorum,anzilu,⬇️,,,
arrive_1,verbs,أَصِلُ,varırım / ulaşıyorum,aṣilu,✅,,,
head_1,verbs,أَتَّجِهُ,yönelirim / yöneliyorum,attajihu,↪️,,,
cross_1,verbs,أَعْبُرُ,karşıya geçerim,aʿburu,🚸,,,
walk_1,verbs,أَمْشي,yürürüm / yürüyorum,amshī,🚶,,,
stand_1,verbs,أَقِفُ,dururum / beklerim,aqifu,🛑,,,
prepare_1,verbs,أَسْتَعِدُّ,hazırlanırım,astaʿiddu,🟡,,,
exit_1,verbs,أَخْرُجُ,çıkarım / çıkıyorum,akhruju,🚪,,,
live_1,verbs,أَسْكُنُ,otururum / yaşarım,askunu,🏠,,,
help_1,verbs,أُساعِدُ,yardım ederim,usāʿidu,🤝,,,
explain_1,verbs,أَشْرَحُ,açıklarım,ashraḥu,🗣️,,,
move_3f,verbs,تَتَحَرَّكُ,hareket eder,tataḥarraku,🚦,,,
imp_go_m,imperatives,اِذْهَبْ,git,idhhab,➡️,,,
imp_go_f,imperatives,اِذْهَبي,git (kız),idhhabī,➡️,,,
imp_ride_m,imperatives,اِرْكَبْ,bin,irkab,🚌,,,
imp_ride_f,imperatives,اِرْكَبي,bin (kız),irkabī,🚌,,,
imp_getoff_m,imperatives,اِنْزِلْ,in,inzil,⬇️,,,
imp_getoff_f,imperatives,اِنْزِلي,in (kız),inzilī,⬇️,,,
imp_head_m,imperatives,اِتَّجِهْ,yönel,ittajih,↪️,,,
imp_head_f,imperatives,اِتَّجِهي,yönel (kız),ittajihī,↪️,,,
imp_walk_m,imperatives,اِمْشِ,yürü,imshi,🚶,,,
imp_walk_f,imperatives,اِمْشي,yürü (kız),imshī,🚶,,,
imp_cross_m,imperatives,اُعْبُرْ,karşıya geç,uʿbur,🚸,,,
imp_cross_f,imperatives,اُعْبُري,karşıya geç (kız),uʿburī,🚸,,,
imp_stand_m,imperatives,قِفْ,dur,qif,🛑,,,
imp_stand_f,imperatives,قِفي,dur (kız),qifī,🛑,,,
right,directions,اليَمين,sağ,al-yamīn,➡️,,,
left,directions,اليَسار,sol,al-yasār,⬅️,,,
to_right,directions,إِلى اليَمين,sağa,ilā al-yamīn,↪️,,,
to_left,directions,إِلى اليَسار,sola,ilā al-yasār,↩️,,,
on_right,directions,عَلى اليَمين,sağ tarafta,ʿalā al-yamīn,👉,,,
on_left,directions,عَلى اليَسار,sol tarafta,ʿalā al-yasār,👈,,,
front,directions,أَمام,önünde,amām,⬆️,,,
behind,directions,خَلْف,arkasında,khalf,⬇️,,,
forward,directions,إِلى الأَمام,ileriye,ilā al-amām,⬆️,,,
little,directions,قَليلاً,biraz,qalīlan,➖,,,
traffic_signals,traffic,إِشاراتُ المُرور,trafik ışıkları / işaretleri,ishārāt al-murūr,🚦,,,
red_light,traffic,الضَّوْءُ الأَحْمَر,kırmızı ışık,aḍ-ḍawʾ al-aḥmar,🔴,,,
