id,patternId,ar,tr
s001,intro,اِسْمي عُمَر، أَنا أَسْكُنُ في إِسْطَنْبولَ.,Adım Ömer; İstanbul’da oturuyorum.
s002,instrument,أَرْكَبُ الدَّرّاجَةَ، ثُمَّ أَتَّجِهُ إِلى المَدْرَسَةِ.,"Bisiklete binerim, sonra okula yönelirim."
s003,instrument,أَبي تاجِر، هُوَ يُسافِرُ إِلى أَنْقَرَةَ بِالطّائِرَةِ.,Babam tüccardır; Ankara’ya uçakla seyahat eder.
s004,instrument,أُمّي طَبيبَة، هِيَ تَذْهَبُ إِلى المُسْتَشْفى بِالسَّيّارَةِ.,Annem doktordur; hastaneye arabayla gider.
s005,return_from_to,أُخْتي مُهَنْدِسَة، هِيَ تَرْجِعُ إِلى إِسْطَنْبولَ بِالقِطارِ.,Kız kardeşim mühendistir; İstanbul’a trenle döner.
s006,destination_travel,أَنا أُسافِرُ في العُطْلَةِ إِلى بورْصَةَ بِالسَّفينَةِ.,Tatilde Bursa’ya gemiyle seyahat ederim.
s007,time_exit,أَنا أَرْكَبُ الدَّرّاجَةَ كُلَّ صَباحٍ.,Her sabah bisiklete binerim.
s008,instrument,عائِشَةُ تُسافِرُ إِلى قَيْصَري بِالقِطارِ.,Âişe Kayseri’ye trenle seyahat eder.
s009,instrument,جَدّي يَتَّجِهُ إِلى المَسْجِدِ بِالسَّيّارَةِ.,Dedem camiye arabayla yönelir.
s010,return_from_to,حَسَن يَرْجِعُ إِلى أَنْطالْيا بِالسَّفينَةِ.,Hasan Antalya’ya gemiyle döner.
s011,instrument,أَنْتِ تَذْهَبينَ إِلى المَكْتَبَةِ بِالْمِتْرو.,Sen kütüphaneye metroyla gidersin.
s012,instrument,أَنْتَ تَصِلُ إِلى إِسْطَنْبولَ بِالطّائِرَةِ.,Sen İstanbul’a uçakla ulaşırsın.
s013,instrument,أَذْهَبُ إِلى المَكْتَبَةِ مَشْيًا.,Kütüphaneye yürüyerek giderim.
s014,modes,أَبي يَرْجِعُ مِنْ أَنْقَرَةَ جَوًّا.,Babam Ankara’dan hava yoluyla döner.
s015,modes,أُخْتي تُسافِرُ إِلى بورْصَةَ بَحْرًا.,Kız kardeşim Bursa’ya deniz yoluyla seyahat eder.
s016,modes,أَخي يُسافِرُ إِلى سيواس بَرًّا.,Erkek kardeşim Sivas’a kara yoluyla seyahat eder.
s017,comparative,السَّيّارَةُ حَديثَة.,Araba moderndir.
s018,comparative,الحافِلَةُ قَديمَة.,Otobüs eskidir.
s019,comparative,الطّائِرَةُ سَريعَة.,Uçak hızlıdır.
s020,comparative,الدَّرّاجَةُ بَطيئَة.,Bisiklet yavaştır.
s021,comparative,القِطارُ أَقْدَمُ مِنَ الحافِلَةِ.,Tren otobüsten daha eskidir.
s022,comparative,الدَّرّاجَةُ أَبْطَأُ مِنَ القِطارِ.,Bisiklet trenden daha yavaştır.
s023,comparative,المِتْرو أَحْدَثُ مِنَ السَّيّارَةِ.,Metro arabadan daha yenidir.
s024,comparative,الطّائِرَةُ أَسْرَعُ مِنَ السَّفينَةِ.,Uçak gemiden daha hızlıdır.
s025,how_route,كَيْفَ أَذْهَبُ إِلى السّوقِ القَديمِ؟,Eski pazara nasıl giderim?
s026,directions_sequence,اُعْبُرِ الطَّريقَ.,Yolu karşıya geç.
s027,directions_sequence,اِمْشِ إِلى الأَمامِ قَليلاً.,Biraz ileri yürü.
s028,directions_sequence,اِرْكَبِ الحافِلَةَ مِنَ المَوْقِفِ.,Duraktan otobüse bin.
s029,directions_sequence,اِنْزِلْ أَمامَ المُسْتَشْفى.,Hastanenin önünde in.
s030,side_location,السّوقُ عَلى اليَسارِ.,Pazar sol taraftadır.
s031,side_location,المَدْرَسَةُ عَلى اليَمينِ.,Okul sağ taraftadır.
s032,traffic_light,إِشاراتُ المُرورِ مُهِمَّة.,Trafik işaretleri önemlidir.
s033,traffic_light,قِفْ عِنْدَ الضَّوْءِ الأَحْمَرِ.,Kırmızı ışıkta dur.
s034,traffic_light,اِسْتَعِدَّ عِنْدَ الضَّوْءِ الأَصْفَرِ.,Sarı ışıkta hazırlan.
s035,traffic_light,اُعْبُرْ عِنْدَ الضَّوْءِ الأَخْضَرِ.,Yeşil ışıkta karşıya geç.
s036,destination_go,اِذْهَبْ إِلى هَذا العُنْوانِ.,Bu adrese git.
s037,destination_travel,إِلى أَيْنَ تُسافِرُ؟ أُسافِرُ إِلى أَنْقَرَةَ.,Nereye seyahat edersin? Ankara’ya seyahat ederim.
s038,instrument,بِماذا تُسافِرُ؟ أُسافِرُ بِالطّائِرَةِ.,Ne ile seyahat edersin? Uçakla seyahat ederim.
s039,return_from_to,مِنْ أَيْنَ تَرْجِعُ؟ أَرْجِعُ مِنَ المَكْتَبَةِ.,Nereden dönersin? Kütüphaneden dönerim.
s040,how_route,كَيْفَ تَذْهَبُ إِلى المَدْرَسَةِ؟ أَذْهَبُ مَشْيًا.,Okula nasıl gidersin? Yürüyerek giderim.
s041,return_from_to,بِماذا تَرْجِعُ إِلى البَيْتِ؟ أَرْجِعُ بِالحافِلَةِ.,Eve ne ile dönersin? Otobüsle dönerim.
s042,time_exit,مَتى تُسافِرُ إِلى بورْصَةَ؟ أُسافِرُ يَوْمَ الجُمُعَةِ.,Bursa’ya ne zaman seyahat edersin? Cuma günü seyahat ederim.
s043,yes_no,هَلْ يَذْهَبُ المِتْرو إِلى المُسْتَشْفى؟ نَعَمْ.,Metro hastaneye gider mi? Evet.
