id,ar,ar_clean,tr,pattern_id,difficulty,source_pages,tags,tokens,audio_key
s001,أَنا بِحاجَةٍ إِلى بَعْضِ الأَشْياءِ مِنَ البَقّالَةِ.,انا بحاجه الي بعض الاشياء من البقاله.,Bakkaldan bazı şeylere ihtiyacım var.,p001,A1,[56],"[""need"", ""grocery""]","[""أَنا"", ""بِحاجَةٍ"", ""إِلى"", ""بَعْضِ"", ""الأَشْياءِ"", ""مِنَ"", ""البَقّالَةِ"", "".""]",u2_sentence_s001
s002,ماذا تُريدينَ يا أُمّي؟,ماذا تريدين يا امي؟,"Anneciğim, ne istiyorsun?",,A1,[56],"[""question""]","[""ماذا"", ""تُريدينَ"", ""يا"", ""أُمّي"", ""؟""]",u2_sentence_s002
s003,أَطْلُبُ مِنْكَ كيلو سُكَّرٍ.,اطلب منك كيلو سكر.,Senden bir kilo şeker istiyorum.,p004,A1,[56],"[""request""]","[""أَطْلُبُ"", ""مِنْكَ"", ""كيلو"", ""سُكَّرٍ"", "".""]",u2_sentence_s003
s004,أُريدُ عُلْبَةَ مِلْحٍ.,اريد علبه ملح.,Bir kutu tuz istiyorum.,p002,A1,[56],"[""request""]","[""أُريدُ"", ""عُلْبَةَ"", ""مِلْحٍ"", "".""]",u2_sentence_s004
s005,أُريدُ عُلْبَتَيْنِ مِنَ الشّايِ.,اريد علبتين من الشاي.,Çaydan iki kutu istiyorum.,p002,A1,[56],"[""quantity""]","[""أُريدُ"", ""عُلْبَتَيْنِ"", ""مِنَ"", ""الشّايِ"", "".""]",u2_sentence_s005
s006,أُريدُ خُبْزًا طازَجًا أَيْضًا.,اريد خبزا طازجا ايضا.,Ayrıca taze ekmek istiyorum.,p002,A1,[56],"[""grocery""]","[""أُريدُ"", ""خُبْزًا"", ""طازَجًا"", ""أَيْضًا"", "".""]",u2_sentence_s006
s007,هَل تُريدينَ شيئًا آخَر؟,هل تريدين شيئا اخر؟,Başka bir şey ister misin?,p009,A1,[56],"[""dialogue""]","[""هَل"", ""تُريدينَ"", ""شيئًا"", ""آخَر"", ""؟""]",u2_sentence_s007
s008,حَسَنًا، سَأَذْهَبُ الآنَ.,حسنا، ساذهب الان.,"Tamam, şimdi gideceğim.",,A1,[56],"[""dialogue""]","[""حَسَنًا"", ""،"", ""سَأَذْهَبُ"", ""الآنَ"", "".""]",u2_sentence_s008
s009,أَنا أُريدُ السُّكَّرَ.,انا اريد السكر.,Ben şeker istiyorum.,p002,A1,[60],"[""request""]","[""أَنا"", ""أُريدُ"", ""السُّكَّرَ"", "".""]",u2_sentence_s009
s010,أَنا بِحاجَةٍ إِلى الشّايِ.,انا بحاجه الي الشاي.,Çaya ihtiyacım var.,p001,A1,[60],"[""need""]","[""أَنا"", ""بِحاجَةٍ"", ""إِلى"", ""الشّايِ"", "".""]",u2_sentence_s010
