dialogue_id,dialogue_title_tr,line_no,speaker,ar,tr,source_pages,tags,audio_key
d001,Bakkala gitmeden önce,1,الأُمّ,أَنا بِحاجَةٍ إِلى بَعْضِ الأَشْياءِ مِنَ البَقّالَةِ.,Bakkaldan bazı şeylere ihtiyacım var.,[56],"[""grocery"", ""list"", ""core""]",u2_dialogue_d001_01
d001,Bakkala gitmeden önce,2,عُمَر,ماذا تُريدينَ يا أُمّي؟,"Anneciğim, ne istiyorsun?",[56],"[""grocery"", ""list"", ""core""]",u2_dialogue_d001_02
d001,Bakkala gitmeden önce,3,الأُمّ,أَطْلُبُ مِنْكَ كيلو سُكَّرٍ، وعُلْبَةَ مِلْحٍ، وعُلْبَتَيْنِ مِنَ الشّايِ.,"Senden bir kilo şeker, bir kutu tuz ve iki kutu çay istiyorum.",[56],"[""grocery"", ""list"", ""core""]",u2_dialogue_d001_03
d001,Bakkala gitmeden önce,4,الأُمّ,أُريدُ خُبْزًا طازَجًا أَيْضًا.,Ayrıca taze ekmek istiyorum.,[56],"[""grocery"", ""list"", ""core""]",u2_dialogue_d001_04
d001,Bakkala gitmeden önce,5,عُمَر,هَل تُريدينَ شيئًا آخَر؟,Başka bir şey ister misin?,[56],"[""grocery"", ""list"", ""core""]",u2_dialogue_d001_05
d001,Bakkala gitmeden önce,6,الأُمّ,حَسَنًا، سَأَذْهَبُ الآنَ.,"Tamam, şimdi gideceğim.",[56],"[""grocery"", ""list"", ""core""]",u2_dialogue_d001_06
d002,Sebze-meyve pazarı,1,البائِع,أَهْلًا وَسَهْلًا، أَيُّ خِدْمَةٍ؟ ماذا تُريدينَ؟,"Hoş geldiniz, nasıl yardımcı olabilirim? Ne istiyorsun?",[64],"[""fruit"", ""vegetable"", ""dialogue""]",u2_dialogue_d002_01
d002,Sebze-meyve pazarı,2,مَرْيَم,أَهْلًا بِكَ، أَنا بِحاجَةٍ إِلى خَضْراواتٍ طازَجَةٍ.,"Merhaba, taze sebzelere ihtiyacım var.",[64],"[""fruit"", ""vegetable"", ""dialogue""]",u2_dialogue_d002_02
d002,Sebze-meyve pazarı,3,البائِع,عِنْدي طَماطِمُ، خِيارٌ، جَزَرٌ، باذِنْجانٌ، بَطاطا، بَصَلٌ، فُلْفُلٌ، وفاصوليا.,"Bende domates, salatalık, havuç, patlıcan, patates, soğan, biber ve fasulye var.",[64],"[""fruit"", ""vegetable"", ""dialogue""]",u2_dialogue_d002_03
d002,Sebze-meyve pazarı,4,مَرْيَم,جَميلٌ جِدًّا! وهَل عِنْدَكَ فَواكِهُ أَيْضًا؟,Çok güzel! Sende meyveler de var mı?,[64],"[""fruit"", ""vegetable"", ""dialogue""]",u2_dialogue_d002_04
d002,Sebze-meyve pazarı,5,البائِع,نَعَم، عِنْدي تُفّاحٌ، بُرْتُقالٌ، مَوْزٌ، عِنَبٌ، كَرَزٌ، ومِشْمِشٌ.,"Evet, bende elma, portakal, muz, üzüm, kiraz ve kayısı var.",[64],"[""fruit"", ""vegetable"", ""dialogue""]",u2_dialogue_d002_05
d002,Sebze-meyve pazarı,6,مَرْيَم,حَسَنًا، أُريدُ كيلوغرامًا واحِدًا مِنْ كُلِّ نَوْعٍ.,"Tamam, her çeşitten bir kilogram istiyorum.",[64],"[""fruit"", ""vegetable"", ""dialogue""]",u2_dialogue_d002_06
d003,Pazarda fiyat sorma,1,البائِع,أَهْلًا وَسَهْلًا! أَيُّ خِدْمَةٍ يا سَيِّدي؟,Hoş geldiniz! Nasıl yardımcı olabilirim efendim?,[67],"[""price"", ""comparison"", ""dialogue""]",u2_dialogue_d003_01
d003,Pazarda fiyat sorma,2,المُشْتَري,أَهْلًا بِكَ، أُريدُ أَنْ أَشْتَري بَعْضَ الخُضَرِ، بِكَم الفاصوليا؟,"Merhaba, biraz sebze satın almak istiyorum. Fasulye kaç lira?",[67],"[""price"", ""comparison"", ""dialogue""]",u2_dialogue_d003_02
d003,Pazarda fiyat sorma,3,البائِع,بِتِسْعِ ليراتٍ، هِيَ طازَجَةٌ جِدًّا.,Dokuz lira; çok taze.,[67],"[""price"", ""comparison"", ""dialogue""]",u2_dialogue_d003_03
d003,Pazarda fiyat sorma,4,المُشْتَري,لَكِنَّها غالِيَةٌ، وأَغْلى مِنَ البَطاطا. أُريدُ كيلوغرامًا واحِدًا فَقَطْ.,Ama pahalı ve patatesten daha pahalı. Sadece bir kilogram istiyorum.,[67],"[""price"", ""comparison"", ""dialogue""]",u2_dialogue_d003_04
d003,Pazarda fiyat sorma,5,البائِع,العِنَبُ رَخيصٌ اليَوْمَ، وهُوَ أَرْخَصُ مِنَ التُّفّاحِ. هَل تُريدُ مِنْهُ؟,Üzüm bugün ucuz; elmadan daha ucuz. Ondan ister misin?,[67],"[""price"", ""comparison"", ""dialogue""]",u2_dialogue_d003_05
d003,Pazarda fiyat sorma,6,المُشْتَري,لا، شُكْرًا جَزيلًا. هذا كافٍ.,"Hayır, çok teşekkürler. Bu yeterli.",[67],"[""price"", ""comparison"", ""dialogue""]",u2_dialogue_d003_06
d004,Bakkalda ürün ve fiyat,1,البَقّال,أَهْلًا وَسَهْلًا! أَيُّ خِدْمَةٍ؟,Hoş geldiniz! Nasıl yardımcı olabilirim?,[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_01
d004,Bakkalda ürün ve fiyat,2,المُشْتَري,أَهْلًا بِكَ، أَنا بِحاجَةٍ إِلى كيلو زَيْتونٍ وعُلْبَةِ مَكَرونَةٍ.,"Merhaba, bir kilo zeytine ve bir kutu makarnaya ihtiyacım var.",[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_02
d004,Bakkalda ürün ve fiyat,3,البَقّال,تَفَضَّل، هَل تُريدُ شيئًا آخَر؟,"Buyurun, başka bir şey ister misin?",[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_03
d004,Bakkalda ürün ve fiyat,4,المُشْتَري,نَعَم، أُريدُ أَنْ أَشْتَري مَوْزًا. بِكَم المَوْزُ؟,"Evet, muz satın almak istiyorum. Muz kaç lira?",[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_04
d004,Bakkalda ürün ve fiyat,5,البَقّال,المَوْزُ بِعَشْرِ ليراتٍ.,Muz on lira.,[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_05
d004,Bakkalda ürün ve fiyat,6,المُشْتَري,لَكِنَّهُ أَغْلى مِنَ المِشْمِشِ.,Ama kayısıdan daha pahalı.,[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_06
d004,Bakkalda ürün ve fiyat,7,البَقّال,نَعَم، المِشْمِشُ أَرْخَصُ مِنَ المَوْزِ اليَوْمَ.,"Evet, kayısı bugün muzdan daha ucuz.",[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_07
d004,Bakkalda ürün ve fiyat,8,المُشْتَري,حَسَنًا، أُريدُ ثَلاثَةَ كيلوغراماتٍ مِنَ المِشْمِشِ.,"Tamam, kayısıdan üç kilogram istiyorum.",[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_08
d004,Bakkalda ürün ve fiyat,9,البَقّال,تَفَضَّل.,Buyurun.,[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_09
d004,Bakkalda ürün ve fiyat,10,المُشْتَري,شُكْرًا، مَعَ السَّلامَةِ.,"Teşekkürler, güle güle.",[76],"[""grocery"", ""price"", ""comparison""]",u2_dialogue_d004_10
d005,Telefon mesajı,1,البائِع,أَهْلًا فاروق! أَيُّ خِدْمَةٍ؟,Merhaba Faruk! Nasıl yardımcı olabilirim?,[87],"[""phone"", ""need"", ""quantity""]",u2_dialogue_d005_01
d005,Telefon mesajı,2,فاروق,أَهْلًا بِكَ، أَنا بِحاجَةٍ إِلى حَليبٍ.,"Merhaba, süte ihtiyacım var.",[87],"[""phone"", ""need"", ""quantity""]",u2_dialogue_d005_02
d005,Telefon mesajı,3,البائِع,حَسَنًا، كَم تُريدُ مِنَ الحَليبِ؟,"Tamam, sütten ne kadar istiyorsun?",[87],"[""phone"", ""need"", ""quantity""]",u2_dialogue_d005_03
d005,Telefon mesajı,4,فاروق,أُريدُ عُلْبَةً واحِدَةً.,Bir kutu istiyorum.,[87],"[""phone"", ""need"", ""quantity""]",u2_dialogue_d005_04
d005,Telefon mesajı,5,البائِع,حَسَنًا، هَل تُريدُ شيئًا آخَر؟,"Tamam, başka bir şey ister misin?",[87],"[""phone"", ""need"", ""quantity""]",u2_dialogue_d005_05
d005,Telefon mesajı,6,فاروق,لا، شُكْرًا لَكَ.,"Hayır, teşekkür ederim.",[87],"[""phone"", ""need"", ""quantity""]",u2_dialogue_d005_06
